Date,Open,High,Low,Close,Adj Close,Volume
1997-10-23,17875000,17875000,17625000,17750000,16485405,3200
1997-10-24,17625000,17750000,17375000,17500000,16253212,10100
1997-10-27,17750000,17750000,17000000,17000000,15788838,13300
1997-10-28,17250000,17250000,16500000,17250000,16021025,5900
1997-10-29,17750000,17750000,17000000,17250000,16021025,18200
1997-10-30,17125000,17250000,16500000,16500000,15324463,13300
1997-10-31,17125000,17250000,16500000,16750000,15556649,10200
1997-11-03,17250000,17250000,16750000,17125000,15904932,4700
1997-11-04,16875000,17250000,16875000,17000000,15788838,3600
1997-11-05,17000000,17250000,17000000,17250000,16021025,3200
1997-11-06,17000000,17375000,17000000,17375000,16137123,8600
1997-11-07,16500000,17375000,16500000,17375000,16137123,5800
1997-11-10,17500000,17500000,17000000,17000000,15788838,3100
1997-11-11,17125000,17125000,16750000,16750000,15556649,15700
1997-11-12,17250000,17250000,16750000,16750000,15556649,2800
1997-11-13,16750000,16875000,16500000,16625000,15440549,13300
1997-11-14,17000000,17000000,16500000,16750000,15556649,6300
1997-11-17,17000000,17000000,16750000,17000000,15788838,47400
1997-11-18,17125000,17250000,16812500,17062500,15846883,15300
1997-11-19,17250000,17625000,16750000,17375000,16137123,25600
1997-11-20,17750000,19000000,17500000,18687500,17356113,45400
1997-11-21,18500000,19375000,18500000,19250000,17878536,37400
1997-11-24,18750000,19125000,18500000,18500000,17181967,4500
1997-11-25,19125000,19125000,18500000,19125000,17762440,17600
1997-11-26,18500000,19250000,18500000,19000000,17646347,29800
1997-11-28,19375000,19625000,19000000,19500000,18110723,10900
1997-12-01,19500000,19500000,19000000,19375000,17994629,12600
1997-12-02,19125000,19250000,19000000,19000000,17646347,38100
1997-12-03,19250000,19250000,19000000,19000000,17646347,3300
1997-12-04,19000000,19125000,18750000,18750000,17414162,10500
1997-12-05,18750000,18875000,18750000,18750000,17414162,21500
1997-12-08,18500000,18937500,18500000,18875000,17530249,25600
1997-12-09,19000000,19000000,18500000,18937500,17588301,4100
1997-12-10,18500000,18500000,18500000,18500000,17181967,3000
1997-12-11,18500000,18625000,18500000,18500000,17181967,6900
1997-12-12,18500000,18750000,18500000,18500000,17181967,42400
1997-12-15,18500000,18562500,17000000,17625000,16369308,52700
1997-12-16,17625000,17750000,17000000,17125000,15904932,18300
1997-12-17,17750000,17750000,17000000,17250000,16021025,79900
1997-12-18,17875000,17875000,17125000,17250000,16021025,17700
1997-12-19,17750000,17750000,17000000,17250000,16021025,8400
1997-12-22,18000000,18000000,17000000,17000000,15788838,35800
1997-12-23,17750000,17750000,17250000,17250000,16021025,12000
1997-12-24,17625000,17625000,17625000,17625000,16369308,100
1997-12-26,17250000,17500000,17250000,17250000,16021025,1700
1997-12-29,17500000,17625000,17000000,17000000,15788838,3300
1997-12-30,17000000,17500000,17000000,17375000,16137123,46800
1997-12-31,17000000,19000000,17000000,19000000,17646347,43200
1998-01-02,19000000,19000000,18500000,18500000,17181967,9100
1998-01-05,19250000,19250000,18000000,18000000,16717588,15300
1998-01-06,17250000,18000000,17250000,17500000,16253212,4100
